"Número de artículo","Descripción del artículo","Grupo de artículos","Unidad de medida de inventario"
"ACC/SL-0533","40B00413 DOG 1 1/4"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0534","40A00418 PAWL 1 1/4"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0535","40B00417 SKIRT 1 1/4"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0536","40A00449 CORE CAP 1 1/4"" -1 3/8"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0537","40B00640 DOG 1 1/2"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0538","40A00419 PAWL 1 3/8"" - 1 5/8""","INSUMOS DE SL",""
"ACC/SL-0539","40B00946 BEEFED UP SKIRT 1 5/8"" J PULL- ING TOOL","INSUMOS DE SL",""
"ACC/SL-0540","40A00639 CORE CAP 1 1/2"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0541","40B00058 DOG 2 1/2"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0542","40A00948 PAWL 2-4"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0543","40C00045 SKIRT 2 1/2"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0544","40A00066 CORE CAP 2 1/2"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0545","40RB1250 2 1/2"" RB PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0546","40C00156 DOG 2 1/2"" R/S PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0547","40C00488 SKIRT 2 1/2"" R PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0548","40SSJ200 2"" SSJ DBL SHEAR P.T.","INSUMOS DE SL",""
"ACC/SL-0549","40C01350 LUG SEGMENT 2"" SSJ PULLING TOOL ADAPTER","INSUMOS DE SL",""
"ACC/SL-0550","90C00200 SPRING 2"" SSJ ADAPTER","INSUMOS DE SL",""
"ACC/SL-0551","40C01351 LUG RETAINER 2"" SSJ PULLING TOOL ADAPTER","INSUMOS DE SL",""
"ACC/SL-0552","40B00741 SKIRT 2"" S PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0553","40B00577 J CORE 2"" PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0554","40C00158 DOG 2"" R/S PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0555","90A00804 CORE SPRING 2"" S/GS PULLING 2 TOOL","INSUMOS DE SL",""
"ACC/SL-0556","90A00515 DOG SPRING 2"" R/S","INSUMOS DE SL",""
"ACC/SL-0557","40A00518 DOG WASHER 2"" RS PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0558","40A00705 CORE NUT 2"" S PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0559","40A00642 SHEAR PIN COVER 2"" S PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0560","91V31000 1.875"" TICX VEE PACKING","INSUMOS DE SL",""
"ACC/SL-0561","91V33080 1.875"" TICPX VEE PACKING","INSUMOS DE SL",""
"ACC/SL-0562","91V31800 2.313"" TICX VEE PACKING","INSUMOS DE SL",""
"ACC/SL-0563","91V34500 1.250"" S VEE PCKG, 2.31"" TICPX PLUG","INSUMOS DE SL",""
"ACC/SL-0564","42SEL250 2.313"" SELECTIVE SHIFTING TOOL","INSUMOS DE SL",""
"ACC/SL-0565","42KSEL231 REDRESS KIT 2.313"" SELECTIVE","INSUMOS DE SL",""
"ACC/SL-0566","19REB150-KIT COMPLETE REBUILD KIT 1 1/2""OIL JAR","INSUMOS DE SL",""
"ACC/SL-0567","19REB175-KIT COMPLETE REBUILD KIT 1 3/4"" OIL JAR","INSUMOS DE SL",""
"ACC/SL-0568","50KDB200 REDRESS KIT FOR 2"" DUMP BAILER","INSUMOS DE SL",""
"ACC/SL-0569","91V13300 2.813"" VEE PACKING","INSUMOS DE SL",""
"ACC/SL-0570","91V34700 1.500"" TICX/S VEE PACKING FOR 2.750""/2.813"" TICPX PRONG","INSUMOS DE SL",""
"ACC/SL-0571","91V33760 2.750"" TICX VEE PACKING","INSUMOS DE SL",""
"ACC/SL-0572","14B01462  PCKG NUT 2 1/2 Q/N TT","INSUMOS DE SL",""
"ACC/SL-0573","14A00095  MALE ADP 2 1/2 N TT","INSUMOS DE SL",""
"ACC/SL-0574","O RING   #113 BUNA O-RING FOR  2' - 4"" N TEST TOOL","INSUMOS DE SL",""
"ACC/SL-0575","16533.001B  MALE ADAPTER RING 2.750"" RING","INSUMOS DE SL",""
"ACC/SL-0576","10A00420  BACK UP RING 2.750"" TICX LOCK","INSUMOS DE SL",""
"ACC/SL-0577","14B01463   PCKG NUT 3"" Q/N   TEST TOOL","INSUMOS DE SL",""
"ACC/SL-0578","10A00429   ADAPTER RING 2.813"" TICX LOCK","INSUMOS DE SL",""
"ACC/SL-0579","1 SET SLIPS FOR SIZE 7"" BOTIL MODEL 'BHRL' DOUBLE GRIP SINGLESTRING RETRIEVABLE HYDRAULIC PACKER SUI","INSUMOS DE SL",""
"ACC/SL-0580","44SW1505 BEARING 1 1/2"" SWIVEL","INSUMOS DE SL",""
"ACC/SL-0581","44SW1755  BEARING 1 3/4"" SWIVEL JOINT","INSUMOS DE SL",""
"ACC/SL-0582","44SW1506  BEARING SEAL 1 1/2"" SWIVEL JOINT","INSUMOS DE SL",""
"ACC/SL-0583","44SW1756 BEARING SEAL 1 3/4"" SWIVEL JOINT","INSUMOS DE SL",""
"ACC/SL-0584","44SW1502 CORE BOLT 1 1/2"" SWIVEL JOINT","INSUMOS DE SL",""
"ACC/SL-0585","44SW1752  CORE BOLT 1 3/4"" SWIVEL JOINT","INSUMOS DE SL",""
"ACC/SL-0586","CHECK VALVE # CC102","INSUMOS DE SL",""
"ACC/SL-0587","PACKER HYDRAULIC PCS-5XC 7"" X 2-7/8"" (23-29#) EUE (B-P) SAE 4140 - L80 NBR 90-80-90","INSUMOS DE SL",""
"ACC/SL-0588","HEAVY DUTY ALUMINUM HAND PUMP # CH103-1","INSUMOS DE SL",""
"ACC/SL-0589","SAZ. MECHANICAL SET DOUBLE GRIP RETRI PROD PACK (WC-MECH-4) 7"" 26-35 PPF, 3-1/2"" EUE, ID: 3"" 10K PS","INSUMOS DE SL",""
"ACC/SL-0590","SAZ.  COLLAR XO 2 7/8"" EUE PIN X 3 1/2"" EUE BOX 1FT N80","INSUMOS DE SL",""
"ACC/SL-0591","SAZ.   COLLAR XO 3 1/2"" EUE PIN X 2 7/8"" EUE BOX 1FT N80","INSUMOS DE SL",""
"ACC/SL-0592","RIGID PARTE NÚMERO: BC410A  1/8” – 4”  TOP SCREW BENCH CHAIN VISE.","INSUMOS DE SL",""
"ACC/SL-0593","10A00426 BK UP 2.750"" T LOCK","INSUMOS DE SL",""
"ACC/SL-0594","10A00425 ADAPTER RING 2.750"" TICX SEL TEST TOOL","INSUMOS DE SL",""
"ACC/SL-0595","FLUKE 101 DIGITAL MULTIMETER","INSUMOS DE SL",""
"ACC/SL-0596","10015902 CONNECTOR - ODU - 7 PIN - FEMALE - PANEL - 1/2 MOON - FACE SEAL - 200C -POTTED WIRES","INSUMOS DE SL",""
"ACC/SL-0597","MSC102 PACKING, HANDLING & EXPORT DOCUMENTATION CHARGES","INSUMOS DE SL",""
"ACC/SL-0598","90A00598 DOG SPRING 2 1/2"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0599","40B00744 B CORE 2 1/2"" S PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0600","40B00317 SKIRT 2 1/2"" S PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0601","90N02120 SPRING 2"" D PLUG, INCONEL","INSUMOS DE SL",""
"ACC/SL-0602","47TIC009 DOG 3 1/2"" TIC ANTI- BLOW TOOL","INSUMOS DE SL",""
"ACC/SL-0603","MISC 1/4"" X 1 1/4"" HARDEN GROUND DOWEL PIN","INSUMOS DE SL",""
"ACC/SL-0604","90A01073  DOG SPRING 1 1/4"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0605","40C00032 SKIRT 2"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0606","90A00597 DOG SPRING 2"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0607","40B00076 DOG 2"" J PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0608","40B00576  B CORE 2"" S PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0609","1 1/2"" SWIVEL JOINT - TIC P/N 44SW1500","INSUMOS DE SL",""
"ACC/SL-0610","1 3/4"" SWIVEL JOINT - TIC P/N 44SW1750","INSUMOS DE SL",""
"ACC/SL-0611","1 1/2"" KNUCKLE JOINT - TIC P/N 45B01150","INSUMOS DE SL",""
"ACC/SL-0612","1 3/4"" KNUCKLE JOINT - TIC P/N 45B01175","INSUMOS DE SL",""
"ACC/SL-0613","ARM PIN 3"" OM-5 KICKOVER TOOL ( TIC p/n 60B01806)","INSUMOS DE SL",""
"ACC/SL-0614","9/16” TUNGSTEN CARBIDE BALL (TIC p/n 95TC0056)","INSUMOS DE SL",""
"ACC/SL-0615","LOWER ADAPTER 3"" OM-5 KICKOVER TOOL (TIC p/n 60B01708)","INSUMOS DE SL",""
"ACC/SL-0616","LOCK RING 3"" OM-5 KICKOVER TOOL (TIC p/n 60B01804)","INSUMOS DE SL",""
"ACC/SL-0617","CONECTOR BOBINA SPARK AVEO 3P","INSUMOS DE SL",""
"ACC/SL-0618","CONECTOR MACHO BOBINA SPARK 3P","INSUMOS DE SL",""
"ACC/SL-0619","BLOW PLUG BODY PARA STUFFING BOX","INSUMOS DE SL",""
"ACC/SL-0620","DOG PARA PULLING TOOL HD 1-5/8""","INSUMOS DE SL",""
"ACC/SL-0621","SKIRT PARA PULLING TOOL HD 1-5/8”","INSUMOS DE SL",""
"ACC/SL-0622","BRASS WEDGE - SLEEVE PARA ROPE SOCKET","INSUMOS DE SL",""
"ACC/SL-0623","SLICKLINE EIPS 0,125"" 1080 C","INSUMOS DE SL",""
"ACC/SL-0624","SLICKLINE EIPS 0,125"" 1080 C","INSUMOS DE SL",""
"ACC/SL-0625","SLICKLINE EIPS 0,125"" 1080 C","INSUMOS DE SL",""
"ACC/SL-0626","MANGUERA 3/4""  CONEXIÓN PIN 1/2"" NPT 300 PSI","INSUMOS DE SL",""
"ACC/SL-0627","MANGUERA 3/8 CONEXIÓN PIN 1/4"" NPT 300 PSI","INSUMOS DE SL",""
"ACC/SL-0628","IZOTANQUE 1000 LITROS","INSUMOS DE SL",""
"ACC/SL-0629","FLOW TUBE Cable 7/32” ID: 0.230in","INSUMOS DE SL",""
"ACC/SL-0630","COUPLING 3 1/2""","INSUMOS DE SL",""
"ACC/SL-0631","EXTENSION PARA KICKOVER   8"" x 1-1/4""","INSUMOS DE SL",""
"ACC/SL-0632","15K 3"" RAMBLOCK INNERSEAL-0.125""(SLICK-85DUROMETER  LEESPECIALTIES/NXL PN: PM930RG3SLCK-0125)","INSUMOS DE SL",""
"ACC/SL-0633","PM930RG30219-85 BOP SEAL 3"" INNER - 7/32"" 85 DUROMETER","INSUMOS DE SL",""
"ACC/SL-0634","CABLE BRAIDED LINE 7/32""","INSUMOS DE SL",""
"ACC/SL-0635","CABLE BRAIDED LINE 7/32""","INSUMOS DE SL",""
"ACC/SL-0636","LEAK SPRING PARA (KICOVER)","INSUMOS DE SL",""
"ACC/SL-0637","ARM SPRING PARA (KICOVER)","INSUMOS DE SL",""
"ACC/SL-0638","ROPE SOCKET 1.75"" PARA CABLE 0.125""","INSUMOS DE SL",""
"ACC/SL-0639","ROPE SOCKET 1.75"" PARA CABLE 7/32""","INSUMOS DE SL",""
"ACC/SL-0640","1.27"" QUARTZ - ELECTRONICS HOUSING – 718   P/N 10008487","INSUMOS DE SL",""
"ACC/SL-0641","ROPE SOCKET 1.5"" PARA CABLE 0.125""","INSUMOS DE SL",""
"ACC/SL-0642","ROPE SOCKET SL  1.75""","INSUMOS DE SL",""
"ACC/SL-0643","ROPE SOCKET 1.5"" PARA CABLE 7/32""","INSUMOS DE SL",""
"ACC/SL-0644","AM5KA036-15  CABLE ASSY DISPLAY 12/24VDC","INSUMOS DE SL",""
"ACC/SL-0645","ALS6A015-1  CABLE ASSY BLUETOOTH ADAPT 60X PANEL","INSUMOS DE SL",""
"ACC/SL-0646","C276P623 USB TO RS232 CONV WIN 8 COMPAT","INSUMOS DE SL",""
"ACC/SL-0647","VÁLVULA DUMMY, APLICACIÓN: PARA GAS LIFT, DIÁMETRO: 1-1/2""","INSUMOS DE SL",""
"ACC/SL-0648","LATCH PARA DUMMY VALVE TYPE- RA LATCH","INSUMOS DE SL",""
"ACC/SL-0649","ARM OM-1 DE 2 7/8""  (GATILLO NACIONAL)","INSUMOS DE SL",""
"ACC/SL-0650","ARM OM-1 DE 2 3/8""  (GATILLO NACIONAL)","INSUMOS DE SL",""
"ACC/SL-0651","TOP SUB KOT OM-1  2 7/8” (NACIONAL)","INSUMOS DE SL",""
"ACC/SL-0652","TOP SUB KOT OM-1  2 3/8” (NACIONAL)","INSUMOS DE SL",""
"ACC/SL-0653","TOP SUB PARA MARTILLO HIDRAULICO DE 1.5” (NACIONAL)","INSUMOS DE SL",""
"ACC/SL-0654","TOP SUB PARA MARTILLO HIDRAULICO DE 1.75” (NACIONAL)","INSUMOS DE SL",""
"ACC/SL-0655","VEE PACKING 1.81"" BAKER (RUBBERCAV PN: 91-VB-18120-NK  NBR)","INSUMOS DE SL",""
"ACC/SL-0656","VEE PACKING 1.87"" BAKER (RUBBERCAV PN: 91-VB-18750-NK   NBR)","INSUMOS DE SL",""
"ACC/SL-0657","VEE PACKING 2.25"" BAKER (RUBBERCAV PN: 91-VB-22500-NK   NBR)","INSUMOS DE SL",""
"ACC/SL-0658","VEE PACKING 2.31"" BAKER (RUBBERCAV PN: 91-VB-23130-NK   NBR)","INSUMOS DE SL",""
"ACC/SL-0659","VEE PACKING 3.81"" BAKER (RUBBERCAV PN: 91-VB-38130-NK   NBR)","INSUMOS DE SL",""
"ACC/SL-0660","VEE PACKING 2.75"" OTIS  (RUBBERCAV PN: 91-V-3376-STD  NBR)","INSUMOS DE SL",""
"ACC/SL-0661","VEE PACKING 2.81"" OTIS ( RUBBERCAV PN: 91-V-1330-STD  NBR)","INSUMOS DE SL",""
"ACC/SL-0662","91V45140  1.500"" MOLY-FILLED VEE PACKING","INSUMOS DE SL",""
"ACC/SL-0663","10B00404  PKG MNDL 3.813"" TICX LOCK","INSUMOS DE SL",""
"ACC/SL-0664","91V32000  3.813"" VEE PACKING","INSUMOS DE SL",""
"ACC/SL-0665","10A00514   ADP SUB 3.813"" TICX","INSUMOS DE SL",""
"ACC/SL-0666","90N01232  DOG SPRING 2"" GS","INSUMOS DE SL",""
"ACC/SL-0667","40B00041  DOG RETAINER 2"" GS  PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0668","40A00087   DOG 2"" GS PULLING TOOL","INSUMOS DE SL",""
"ACC/SL-0669","90B00801  DOG SPRING 3.813"" TICX RUNNING TOOL","INSUMOS DE SL",""
"ACC/SL-0670","41B00326 LOCATOR DOG 3.813"" TICX RUNNING TOOL","INSUMOS DE SL",""
"ACC/SL-0671","HOUSING (CAÑA) OM-1 2-7/8""","INSUMOS DE SL",""
"ACC/SL-0672","HOUSING (CAÑA) OM-1 2-3/8""","INSUMOS DE SL",""
"ACC/SL-0673","HOUSING - MEDIA CAÑA OM-1 2-7/8""","INSUMOS DE SL",""
"ACC/SL-0674","HOUSING - MEDIA CAÑA OM-1 2-3/8""","INSUMOS DE SL",""
"ACC/SL-0675","CABLE LISO 0.125""","INSUMOS DE SL",""
"ACC/SL-0676","CABLE LISO 0.125""","INSUMOS DE SL",""
"ACC/SL-0677","CABLE LISO 0.125""","INSUMOS DE SL",""
"ACC/SL-0678","CABLE LISO 0.125"" ( VEXAH )","INSUMOS DE SL",""
"ACC/SL-0679","SHOE TIPO ESFERA 1-7/8""","INSUMOS DE SL",""
"ACC/SL-0680","T10OM1287-I SPRING BASE 2 7/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0681","T10OM1237-I SPRING BASE 2 3/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0682","T10OM1287-G ARM ADAPTER 2 7/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0683","T10OM1237-G ARM ADAPTER 2 3/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0684","T10OM1287-E RELEASE PLUNGER 2 7/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0685","T10OM1237-E RRELEASE PLUNGER 2 3/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0686","T10OM1287-F LOCK RING 2 7/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0687","T10OM1237-F LOCK RING 2 3/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0688","T10OM1287-C FINGER HOUSING 2 7/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0689","T10OM1237-C FINGER HOUSING 2 3/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0690","T10OM1287-J LOWER ADAPTER 2 7/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0691","T10OM1237-J LOWER ADAPTER 2 3/8” KOT OM-1","INSUMOS DE SL",""
"ACC/SL-0692","AM506-A04-0101-1500-Q1MF O HYDRAULIC HOSE 1/4"" X 125'","INSUMOS DE SL",""
"ACC/SL-0693","CONEXIONES RÁPIDAS 4 ¾ BOWEN 5K BOX X 5-3/4” ACMÉ","INSUMOS DE SL",""
"ACC/SL-0694","CONEXIÓN 4 ¾” BOWEN PIN","INSUMOS DE SL",""
"ACC/SL-0695","CABLE BRAIDED LINE 7/32""","INSUMOS DE SL",""
"ACC/SL-0696","CABLE BRAIDED LINE 7/32""","INSUMOS DE SL",""
"ACC/SL-0697","BODY - ROPE SOCKET 1.5"" X 15/16""-10 CIEGO","INSUMOS DE SL",""
"ACC/SL-0698","BODY - ROPE SOCKET 1.75"" X 1-1/16""-10 CIEGO","INSUMOS DE SL",""
"ACC/SL-0699","CAUCHOS PARA LINE WIPER CABLE 7/32""","INSUMOS DE SL",""
"ACC/SL-0700","CAUCHOS PARA PACKOFF PARA CABLE 7/32”","INSUMOS DE SL",""
"ACC/SL-0701","PM675RG0041 STUFFING BOX SLICKLINE PACKING","INSUMOS DE SL",""
"ACC/SL-0702","PM675CB0019-0125 STUFFING BOX TOP LINE GUIDE -0.125""","INSUMOS DE SL",""
"ACC/SL-0703","PM675CB0021-0125 STUFFING BOX PACKING RETAINING NUT - 0.125 ""","INSUMOS DE SL",""
"ACC/SL-0704","PM675CB0023-0125 STUFFING BOX VELOCITY CHECK / LINE GUIDE - 0.125""","INSUMOS DE SL",""
"ACC/SL-0705","PM675CB0018 STUFFING BOX PISTON","INSUMOS DE SL",""
"ACC/SL-0706","PM655MC0047 STUFFING BOX MAIN BODY TEST PLUG P/N","INSUMOS DE SL",""
"ACC/SL-0707","AM688WB0024 STUFFING BOX NIGHT/TEST/LIFT CAP","INSUMOS DE SL",""
"ACC/SL-0708","AM679RK0036 LINEWIPER PACKOFF SEAL KIT","INSUMOS DE SL",""
"ACC/SL-0709","PM679CB0157-0219 UPPER LINE GUIDE BUSHING","INSUMOS DE SL",""
"ACC/SL-0710","PM679CC0014-0219 PACKOFF UPPER LINE GUIDE","INSUMOS DE SL",""
"ACC/SL-0711","PM679CC0021-0219 BOTTOM LINE GUIDE","INSUMOS DE SL",""
"ACC/SL-0712","PM679RG0041-0219 1 PIECE ""SOFT"" RUBBER","INSUMOS DE SL",""
"ACC/SL-0713","PM679RA0042-0219 2 PIECE ""HARD"" RUBBER","INSUMOS DE SL",""
"ACC/SL-0714","CABLE LISO 0.125""","INSUMOS DE SL",""
"ACC/SL-0715","CABLE LISO 0.125""","INSUMOS DE SL",""
"ACC/SL-0716","CABLE LISO 0.125""","INSUMOS DE SL",""
"ACC/SL-0717","CABLE LISO 0.125""","INSUMOS DE SL",""
"ACC/SL-0718","T10OM1287-K  HOUSING PARA KICKOVER OM-1 2-7/8"" (CAÑA CON BOLSILLO)","INSUMOS DE SL",""
"ACC/SL-0719","T35RK150  RUNNING RK","INSUMOS DE SL",""
"ACC/SL-0720","T30JDS162-3-B  DOG PARA PULLING TOOL JDS 1-5/8"" (3 GARRAS)","INSUMOS DE SL",""
"ACC/SL-0721","T30JDS162-3-H CORE SPRING PARA PULLING JDS 1-5/8""","INSUMOS DE SL",""
"ACC/SL-0722","T30HD162-C  DOG PARA PULLING TOOL HD 1-5/8""","INSUMOS DE SL",""
"ACC/SL-0723","T74IMB150  IMPRESSION BLOCK 1,5""","INSUMOS DE SL",""
"ACC/SL-0724","T93PJ160-K  KIT ORING - SEAL PROTECTOR RING PARA POWER JAR 1,60""","INSUMOS DE SL",""
"ACC/SL-0725","T93PJ180-K  KIT ORING - SEAL PROTECTOR RING PARA POWER JAR 1,80""","INSUMOS DE SL",""
"ACC/SL-0726","T93PJ180-L  FILL PLUG PARA MARTILLO POWER JAR 1,60""","INSUMOS DE SL",""
"ACC/SL-0727","KNUCLE JOINT   1,50""""""","INSUMOS DE SL",""
"ACC/SL-0728","KNUCLE JOINT  1,75"""" ""","INSUMOS DE SL",""
"ACC/SL-0729","SWIVEL JOINT   1,50"""" ""","ACTIVOS DE SL",""
"ACC/SL-0730","SWIVEL JOINT   1,75""""  ""","INSUMOS DE SL",""
"ACC/SL-0731","PARAFFINE CUTTER   2,30""""  ""","INSUMOS DE SL",""
"ACC/SL-0732","RANA - ANTENALLA MODELO 1613-30","INSUMOS DE SL",""
"ACC/SL-0733","FINGER PARA KICKOVER OM-1 2-7/8"" (T10OM1287-B","INSUMOS DE SL",""
"ACC/SL-0734","FINGER PARA KICKOVER OM-1 2-3/8"" (T10OM1237-B )","INSUMOS DE SL",""
"ACC/SL-0735","LEAF SPRING PARA KICKOVER OM-1 2-7/8"" (T10OM1287-N)","INSUMOS DE SL",""
"ACC/SL-0736","KICK SPRING PARA KICKOVER OM-1 2-7/8"" (T10OM1287-O)","INSUMOS DE SL",""
"ACC/SL-0737","FILL PLUG PARA MARTILLO HIDRAULICO 1,5"" - 1,75""","INSUMOS DE SL",""
"ACC/SL-0738","WIRELINE GRAP DE 1,750""","INSUMOS DE SL",""
"ACC/SL-0739","BUJE  PARA SPOOLER","INSUMOS DE SL",""
"ACC/SL-0740","KIT VÁLVULA FMC LO-TORC 1”  M100015488-H  CUSTOMS-OR-GIN-US.","INSUMOS DE SL",""
"ACC/SL-0741","KIT VÁLVULA FMC 2X1” S/N 1612VAS680-7 15000CWP3257105.","INSUMOS DE SL",""
"ACC/SL-0742","KIT VÁLVULA FMC  2X1”  S/N 3257105.","INSUMOS DE SL",""
"ACC/SL-0743","PULLING TOOL JDS DE 1-5/8""","INSUMOS DE SL",""
"ACC/SL-0744","LIFTING 4-3/4""-4 ACME","INSUMOS DE SL",""
"ACC/SL-0745","PARAFFIN CUTTER 1,87""","INSUMOS DE SL",""
"ACC/SL-0746","KIT SATELITAL STARLINK MINI","INSUMOS DE SL",""
"ACC/SL-0747","TAPON PRUEBA 5-3/8”-4 ACME 2G BOX X ½ NPT","INSUMOS DE SL",""
"ACC/SL-0748","CELDA TENSION  0-5000LB","INSUMOS DE SL",""
"ACC/SL-0749","MAGNETO 2.75""","INSUMOS DE SL",""
"ACC/SL-0750","T30JDS16-3-A   TOP SUB PARA PULLING TOOL JD 1-5/8""","INSUMOS DE SL",""
"ACC/SL-0751","WEDGE - 0,218"" FOR 1.5"" ROTARY CUTTER LIMAR - PN 1017-1500-10-0218-RO","INSUMOS DE SL",""
"ACC/SL-0752","WEDGE - 0,125"" FOR 1.5"" ROTARY CUTTER LIMAR - PN 1017-1500-10-0125-RO","INSUMOS DE SL",""
"ACC/SL-0753","SHEAR SCREW - PHOSPHOR BRONZE SS-375NF-02-PB","INSUMOS DE SL",""
"ACC/SL-0754","SPARE PARTS KIT - 1.5"" ROTARY  CUTTER  1017-1500-01-R4-SPK","INSUMOS DE SL",""
"ACC/SL-0755","CABLE BRAIDED LINE 7/32"" ACERO AL CARBON","INSUMOS DE SL",""
"ACC/SL-0756","CABLE BRAIDED LINE 7/32"" ACERO AL CARBON","INSUMOS DE SL",""
"ACC/SL-0757","CABLE LISO 0.125"" EIPS","INSUMOS DE SL",""
"ACC/SL-0758","CABLE LISO 0.125"" EIPS","INSUMOS DE SL",""
"ACC/SL-0759","CABLE LISO 0.125"" EIPS","INSUMOS DE SL",""
"ACC/SL-0760","CABLE LISO 0.125"" EIPS","INSUMOS DE SL",""
"ACC/SL-0761","WIRELINE FINDER 2"", FISHNECK OD 1.375"", MAX OD 1.813"", PIN CONECTION 15/16""-10","INSUMOS DE SL",""
"ACC/SL-0762","WIRELINE FINDER 3"", FISHNECK OD 1.375"", MAX OD 2.740"", PIN CONECTION 15/16""-10","INSUMOS DE SL",""
"ACC/SL-0763","WIRELINE GRAB 2"" (2 PRONG), FISHNECK OD 1.375"", MAX OD 1.750"", PIN CONECTION 15/16""-10","INSUMOS DE SL",""
"ACC/SL-0764","WIRELINE GRAB 3"" (3 PRONG), FISHNECK OD 1.750"", MAX OD 2.625"", PIN CONECTION 15/16""-10","INSUMOS DE SL",""
"ACC/SL-0765","STANDING VALVE F 2.81""","INSUMOS DE SL",""
"ACC/SL-0766","DOGS DE PULLING JDC 1 1/4""","INSUMOS DE SL",""
"ACC/SL-0767","SKIRT DE PULLING JDC 1 1/4""","INSUMOS DE SL",""
"ACC/SL-0768","PULLING TOOL JDC 1 1/4"" BHA HSL","INSUMOS DE SL",""
"ACC/SL-0769","DOGS DE DOS UÑAS PARA PULLING TOOL JDC DE 2""","INSUMOS DE SL",""
"ACC/SL-0770","DETECTOR DE TORMENTAS","INSUMOS DE SL",""
"ACC/SL-0771","PULLING TOOL HD 1-5/8""","INSUMOS DE SL",""
"ACC/SL-0772","PARAFFIN CUTTER 2,28""","INSUMOS DE SL",""
"ACC/SL-0773","TUBING SWEDGE 2""","INSUMOS DE SL",""
"ACC/SL-0774","TUBING SWEDGE 2.5""","INSUMOS DE SL",""
"ACC/SL-0775","TUBING SWEDGE 2.34""","INSUMOS DE SL",""
"ACC/SL-0776","TUBING SWEDGE 2.84""","INSUMOS DE SL",""
"ACC/SL-0777","PUNZÓN PARA TUBING PUNCHER DE 3-1/2”","INSUMOS DE SL",""
"ACC/SL-0778","EXTENSION PARA KICKOVER  4"" x 1-1/4""","INSUMOS DE SL",""
"ACC/SL-0779","EXTENSION PARA KICKOVER  6"" x 1-1/4""","INSUMOS DE SL",""
"ACC/SL-0780","EXTENSION PARA KICKOVER  11"" x 1-1/4""","INSUMOS DE SL",""
"ACC/SL-0781","RUNNING TOOL DE 1"" BK","INSUMOS DE SL",""
"ACC/SL-0782","INHIBIDOR DE CORROSIÓN (782 BIODEGRADABLE LINE SPRAY)","INSUMOS DE SL",""
"ACC/SL-0783","ESCALERA PARA BOCA POZO","INSUMOS DE SL",""
"ACC/TI-0001","CAMARA FOTOGRAFICA DIGITAL","INSUMOS DE TI OP",""
"ACC/TI-0002","CABLE MONITOR VGA 1.8 METROS","INSUMOS DE TI AD",""
"ACC/TI-0003","TELEFONO OP","INSUMOS DE TI OP",""
"ACC/TI-0004","GATEWAY PARA CONEXIÓN LINEAS ANÁLOGAS","INSUMOS DE TI OP",""
"ACC/TI-0005","PATCH PANEL PARA RACK OP","INSUMOS DE TI AD",""
"ACC/TI-0006","TECLADO  AD","INSUMOS DE TI AD",""
"ACC/TI-0007","TECLADO  OP","INSUMOS DE TI OP",""
"ACC/TI-0008","TECLADO VTAS","INSUMOS DE TI VTAS",""
"ACC/TI-0009","MOUSE  AD","INSUMOS DE TI AD",""
